YearMonth,NO2 AQI,O3 AQI,SO2 AQI,CO AQI,NO2 Mean,O3 Mean,SO2 Mean,CO Mean
2001-04-01,31.09373505499761,39.26542324246772,13.640363462458154,6.99712368168744,15.84369406456241,0.030507556671449065,3.311031656862745,0.4086338481587757
2001-05-01,30.294063926940638,47.98584474885845,13.106392694063928,6.0091324200913245,15.818328148858447,0.03340662283105023,3.028619449086758,0.3672972787671233
2001-06-01,29.60927456382002,53.35904499540863,13.930211202938475,5.938475665748393,15.138375482093664,0.03269573094582186,3.020265217630854,0.35931431175390266
2001-07-01,25.59981933152665,47.200542005420054,13.698283649503162,5.294489611562782,13.599028422312557,0.0308373559168925,3.1532835214543815,0.3359205354561879
2001-08-01,28.730558096980786,51.061299176578224,15.422689844464776,6.131807780320366,15.50464829505947,0.030182195333943274,3.474601583714547,0.3901150208142727
2001-09-01,29.95976223136717,37.81161408321902,12.457247370827618,7.344764517604024,16.16497479789666,0.02433964654778235,2.7744901383173297,0.4275788605395519
2001-10-01,34.68301382077575,31.59786000891663,13.53678109674543,9.74799286351472,19.849564224253232,0.021888491306286225,3.283576739188587,0.5378828584485065
2001-11-01,34.930474333983106,23.8635477582846,10.10916179337232,13.56140350877193,21.474988063677714,0.016788654970760233,2.7171532355425603,0.7313281358024691
2001-12-01,33.15682414698163,19.03477690288714,10.045275590551181,15.076771653543307,21.278134670603674,0.013924031496062993,2.8835248622047245,0.8191105052493438
2002-01-01,34.98523489932886,19.081208053691274,11.051677852348993,14.678307588985897,22.762980916107384,0.013187130201342283,3.186337866442953,0.8070752093959731
2002-02-01,36.79203539823009,26.809734513274336,10.200589970501476,13.138643067846608,22.26863969542773,0.019132901179941,2.775593328539823,0.7299255818584071
2002-03-01,30.52786099460755,32.837028160575194,9.49430796884362,8.522182254196643,16.741915115638108,0.02618811324146195,2.4696893630916716,0.49319443439185146
2002-04-01,26.905474764756203,37.07057313943542,10.84901625320787,6.102224123182207,13.890096763045339,0.029841437553464502,2.4715115938836614,0.3816797102224123
2002-05-01,25.937916666666666,41.776666666666664,10.340416666666666,5.743851604835348,13.236296353333334,0.032366743749999996,2.4120180810416665,0.36503064864583334
2002-06-01,25.866549604916592,55.03687445127304,11.847673397717296,5.571805006587615,13.140863776412058,0.03463980904302019,2.6529668699882936,0.35435456694468837
2002-07-01,24.920053595355068,56.55113890129522,12.189370254577936,5.512058954890576,12.891644775792765,0.034267824028584186,2.8756118200089325,0.3654925673291648
2002-08-01,27.04326494201606,56.22078501338091,12.03256021409456,6.076271186440678,14.189391778322925,0.03358581801962533,2.7294198793487956,0.39163953780107047
2002-09-01,30.350732600732602,45.04899267399267,11.281135531135531,7.5666513971598715,16.088371715659342,0.027482893772893775,2.7139672351190476,0.45465646897893774
2002-10-01,28.26681818181818,29.292727272727273,10.410454545454545,8.535454545454545,16.524924315,0.020966044545454546,2.7323061268181816,0.5062619359090909
2002-11-01,35.82440476190476,23.539434523809526,9.770089285714286,14.579613095238095,22.356820569940478,0.01641021875,2.7473544687500002,0.7949152347470239
2002-12-01,33.58766716196137,21.12630014858841,10.460624071322437,14.187964338781574,22.112228788261515,0.015252171619613671,3.2400348027488852,0.7917737091381871
2003-01-01,34.51814516129032,18.1875,11.404569892473118,13.98722259583053,22.433155838709677,0.01270416129032258,3.6009828447580645,0.8038572496639785
