State,City,n_obs,NO2_AQI,O3_AQI,SO2_AQI,CO_AQI,Max_AQI
Pennsylvania,Freemansburg,1918,23.295620437956206,45.293013555787276,13.118873826903023,3.516684045881126,46.9118873826903
Pennsylvania,Greensburg,1875,22.733333333333334,42.21013333333333,26.363733333333332,2.3226666666666667,46.8704
Colorado,Welby,5226,37.41025641025641,35.83658629927287,12.34462303865289,8.292113323124044,46.769804822043625
Utah,Salt Lake City,1641,29.93601462522852,40.31078610603291,1.4765386959171236,5.683120048750761,46.60816575258988
California,Los Angeles,9559,37.804372842347526,34.57192174913694,4.052515953551627,9.680866652710906,46.50842138298985
North Carolina,Charlotte,4786,23.106769745089846,44.360844128708735,8.592770580860844,5.8031158511083225,46.429168407856245
Missouri,Breckenridge Hills,858,28.20979020979021,43.12004662004662,17.928904428904428,8.771561771561771,46.20745920745921
California,Calexico,5608,31.393723252496432,39.723252496433666,2.3421897289586306,14.70322810772249,46.09094151212553
Colorado,Denver,2363,41.26407109606433,29.56453660600931,10.812526449428692,8.295512277730737,45.8404570461278
Pennsylvania,New Castle,1904,24.832457983193276,38.19012605042017,26.205882352941178,5.044117647058823,45.8235294117647
Illinois,Calumet City (PU RR name Calumet Park (sta.)),638,38.244514106583075,30.62539184952978,21.094043887147336,9.343260188087774,45.62852664576803
Missouri,St. Louis,2791,29.411322106771767,40.71766391974203,18.01863131494088,6.88713722680043,45.55034037979219
Pennsylvania,Bristol,3206,23.568309419837803,43.69432314410481,10.115720524017467,3.462570180910792,45.520898315658144
Tennessee,Not in a city,1462,3.548563611491108,45.35841313269494,2.3276333789329686,4.878684030157642,45.39192886456908
Oklahoma,Miami,937,16.56350053361793,44.86019210245464,3.1408751334044824,0.73475935828877,45.37886872998933
Pennsylvania,York,3942,24.990613901572807,41.681633688483004,14.8234398782344,3.660832064941654,45.322932521562656
Virginia,Alexandria,1469,27.141592920353983,41.18311776718856,10.456092579986386,4.066712049012934,45.03267528931246
Nevada,Reno,1813,27.821290678433535,39.63927192498621,1.0419194704908992,4.5834254143646405,45.01434087148373
Arizona,Scottsdale,2176,41.9875919117647,31.459558823529413,4.534466911764706,11.452205882352942,44.755055147058826
Connecticut,Westport,1051,22.206470028544242,44.15794481446242,1.7278782112274025,3.0409134157944813,44.51665080875357
Indiana,Indianapolis (Remainder),3483,24.05684754521964,41.58570198105082,14.659201837496411,5.39500143636886,44.35199540625897
Oklahoma,Oklahoma City,1506,13.749667994687915,43.86122177954847,1.00464807436919,2.3871181938911024,44.168658698539176
Pennsylvania,Pittsburgh,4599,27.650141335072842,39.90976299195477,16.182213524679277,4.91693846488367,44.10958904109589
